Consecutivo;Razón Social del cliente;Marca;Modelo Técnico;Tipo de Receptor;País de Fabricación;Código de Certificado;Fecha de Emisión;Alcance
1;Esto es un ejemplo S.A;Dynex;DX-LCD19-09;Full-seg;China;TVD-1-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
2;Esto es un ejemplo S.A;Insignia;15;Full-seg;Estados Unidos;TVD-2-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
3;Esto es un ejemplo S.A;Insignia;19;Full-seg;Japón;TVD-3-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
4;Esto es un ejemplo S.A;Insignia;Insignia 15;Full-seg;Corea del Sur;TVD-4-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
5;Esto es un ejemplo S.A;Insignia;Insignia 19;Full-seg;China;TVD-5-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
6;Esto es un ejemplo S.A;Insignia;Insignia 32;Full-seg;Estados Unidos;TVD-6-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
7;Esto es un ejemplo S.A;Insignia;Insignia 37;Full-seg;Japón;TVD-7-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
8;Esto es un ejemplo S.A;Insignia;NS-LCD15-09CA;Full-seg;Corea del Sur;TVD-8-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
9;Esto es un ejemplo S.A;Insignia;NS-LCD19-09;Full-seg;China;TVD-9-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
10;Esto es un ejemplo S.A;Insignia;NS-LCD22-09;Full-seg;Estados Unidos;TVD-10-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
11;Esto es un ejemplo S.A;Insignia;NS-LCD26-09;Full-seg;Japón;TVD-11-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
12;Esto es un ejemplo S.A;Insignia;NS-LCD42HD-09;Full-seg;Corea del Sur;TVD-12-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
13;Esto es un ejemplo S.A;Insignia;NS-LCD47HD-09;Full-seg;China;TVD-13-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
14;Esto es un ejemplo S.A;Insignia;NS-LCD52HD-09;Full-seg;Estados Unidos;TVD-14-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
15;Esto es un ejemplo S.A;Insignia;NS-LTDVD19-09;Full-seg;Japón;TVD-15-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
16;Esto es un ejemplo S.A;Insignia;NS-LTDVD19-09CA;Full-seg;Corea del Sur;TVD-16-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
17;Esto es un ejemplo S.A;Insignia;NS-LTDVD26-09;Full-seg;China;TVD-17-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
18;Esto es un ejemplo S.A;Insignia;NS-LTDVD32-09;Full-seg;Estados Unidos;TVD-18-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
19;Esto es un ejemplo S.A;Clarity;Clarity Lynx;Full-seg;Japón;TVD-19-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
20;Esto es un ejemplo S.A;Clarity;Rio;Full-seg;Corea del Sur;TVD-20-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
21;Esto es un ejemplo S.A;AOC;L16W831;Full-seg;China;TVD-21-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
22;Esto es un ejemplo S.A;AOC;L19W831;Full-seg;Estados Unidos;TVD-22-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
23;Esto es un ejemplo S.A;AOC;L19W861;Full-seg;Japón;TVD-23-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
24;Esto es un ejemplo S.A;AOC;L19W898;Full-seg;Corea del Sur;TVD-24-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
25;Esto es un ejemplo S.A;AOC;L22W831;Full-seg;China;TVD-25-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
26;Esto es un ejemplo S.A;AOC;L22W861;Full-seg;Estados Unidos;TVD-26-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
27;Esto es un ejemplo S.A;AOC;L22W898;Full-seg;Japón;TVD-27-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
28;Esto es un ejemplo S.A;AOC;L26W861;Full-seg;Corea del Sur;TVD-28-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
29;Esto es un ejemplo S.A;AOC;L26W898;Full-seg;China;TVD-29-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
30;Esto es un ejemplo S.A;AOC;L32W861;Full-seg;Estados Unidos;TVD-30-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
31;Esto es un ejemplo S.A;AOC;L37W861;Full-seg;Japón;TVD-31-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
